;stations_id;longitude;latitude;altitude;monthly_precp
0;216;7.8807;51.1143;298;273.69999999999993
1;389;8.4318;51.0148;436;175.5999999999998
2;390;8.3683;50.9837;610;179.19999999999987
3;613;9.2324;51.5677;206;130.10000000000002
4;644;9.1738;51.7049;150;114.99999999999996
5;796;8.1257;50.7556;412;167.9999999999999
6;934;8.5658;51.7835;88;116.80000000000003
7;1300;8.1565;51.254;351;201.7999999999998
8;2483;8.4891;51.1803;839;222.19999999999968
9;2947;8.0348;51.1333;286;291.1
10;3028;8.8388;51.7854;157;179.29999999999993
11;3031;8.3945;51.6336;92;157.0999999999999
12;3098;7.6425;51.2452;387;169.0999999999998
13;3215;8.7125;51.1683;375;189.29999999999987
14;3499;7.853;51.2915;292;191.59999999999994
15;4127;7.6958;50.9906;347;137.79999999999987
16;4313;8.4342;51.4966;370;234.1999999999997
17;4368;8.5796;51.7098;93;140.79999999999998
18;4400;8.1808;51.5439;171;131.69999999999996
19;4488;8.2672;51.2127;443;261.7999999999998
20;4692;7.9966;50.8534;229;144.8999999999998
21;5347;9.1118;51.5039;236;119.59999999999992
22;5360;8.2665;51.4319;331;252.79999999999953
23;5468;7.8475;50.9377;418;152.09999999999994
24;5480;7.8879;51.5763;85;169.2999999999999
25;5619;7.4234;51.1637;360;207.29999999999984
26;5699;8.7784;51.5427;312;179.7
27;6264;8.65;51.414;457;132.8999999999998
28;6276;7.7813;51.4895;235;172.79999999999978
29;6313;7.4672;51.2488;440;216.7999999999997
30;7330;7.978;51.4633;159;214.19999999999987
31;13700;7.3412;51.3329;203;180.7999999999999
32;13713;7.6289;51.0899;386;182.89999999999978
